,sched_arr_datetime (mod),arr_time,sched_arr_time,arr_delay,name,actual_delay,station,Wind Speed [in knots],Wind Gust [in knots],One hour precipitation [in inches],Pressure altimeter [in inches],Visibility [in miles],Sky Level 1 Coverage,Sky Level 2 Coverage,Sky Level 3 Coverage,Sky Level 4 Coverage
0,2013-01-01 08:53:00,09:24,09:17,7.0,United Air Lines Inc.,5.0,LAX,4.0,,0.00,30.23,10.0,4.0,,,
1,2013-01-01 10:53:00,10:27,10:25,2.0,Virgin America,0.0,LAX,5.0,,0.00,30.24,10.0,4.0,,,
2,2013-01-01 09:53:00,10:58,10:14,44.0,JetBlue Airways,46.0,LAX,4.0,,0.00,30.25,10.0,3.0,,,
3,2013-01-01 10:53:00,11:07,11:00,7.0,American Airlines Inc.,20.0,LAX,5.0,,0.00,30.24,10.0,4.0,,,
4,2013-01-01 11:53:00,11:52,12:00,-8.0,United Air Lines Inc.,-9.0,LAX,3.0,,0.00,30.21,10.0,4.0,,,
5,2013-01-01 12:53:00,12:23,12:25,-2.0,Virgin America,-3.0,LAX,5.0,,0.00,30.21,10.0,4.0,,,
6,2013-01-01 11:53:00,12:26,12:20,6.0,American Airlines Inc.,2.0,LAX,3.0,,0.00,30.21,10.0,4.0,,,
7,2013-01-01 12:53:00,12:37,12:27,10.0,Delta Air Lines Inc.,31.0,LAX,5.0,,0.00,30.21,10.0,4.0,,,
8,2013-01-01 12:53:00,13:00,12:58,2.0,JetBlue Airways,-2.0,LAX,5.0,,0.00,30.21,10.0,4.0,,,
9,2013-01-01 13:53:00,13:51,13:40,11.0,American Airlines Inc.,7.0,LAX,0.0,,0.00,30.21,10.0,4.0,,,
10,2013-01-01 14:53:00,15:04,14:48,16.0,United Air Lines Inc.,13.0,LAX,3.0,,0.00,30.22,10.0,2.0,3.0,4.0,
11,2013-01-01 14:53:00,14:48,14:50,-2.0,Virgin America,1.0,LAX,3.0,,0.00,30.22,10.0,2.0,3.0,4.0,
12,2013-01-01 14:53:00,15:17,15:10,7.0,American Airlines Inc.,2.0,LAX,3.0,,0.00,30.22,10.0,2.0,3.0,4.0,
13,2013-01-01 15:53:00,14:50,15:29,-39.0,Delta Air Lines Inc.,-46.0,LAX,6.0,,0.00,30.22,10.0,2.0,3.0,4.0,
14,2013-01-01 15:53:00,16:49,15:31,78.0,JetBlue Airways,155.0,LAX,6.0,,0.00,30.22,10.0,2.0,3.0,4.0,
15,2013-01-01 16:53:00,16:38,16:55,-17.0,Virgin America,-20.0,LAX,4.0,,0.00,30.23,10.0,4.0,4.0,,
16,2013-01-01 16:53:00,17:09,17:05,4.0,American Airlines Inc.,0.0,LAX,4.0,,0.00,30.23,10.0,4.0,4.0,,
