date,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,tailnum,air_time,name
2013-01-01,05:58,06:00,-2.0,09:24,09:17,7.0,N29129,345.0,United Air Lines Inc.
2013-01-01,21:28,21:35,-7.0,00:26,00:50,-24.0,N338AA,338.0,American Airlines Inc.
2013-01-01,21:07,20:40,27.0,23:54,23:59,-5.0,N779JB,323.0,JetBlue Airways
2013-01-01,19:52,20:00,-8.0,23:14,23:25,-11.0,N640VA,349.0,Virgin America
2013-01-01,19:37,19:05,32.0,22:50,22:25,25.0,N327AA,332.0,American Airlines Inc.
2013-01-01,19:25,19:00,25.0,22:59,22:38,21.0,N624AG,332.0,Delta Air Lines Inc.
2013-01-01,18:56,16:45,131.0,22:12,20:05,127.0,N323AA,336.0,American Airlines Inc.
2013-01-01,17:50,17:50,0.0,21:09,21:15,-6.0,N525UA,345.0,United Air Lines Inc.
2013-01-01,16:55,16:55,0.0,20:25,20:30,-5.0,N626VA,362.0,Virgin America
2013-01-01,16:26,16:30,-4.0,20:07,19:52,15.0,N804JB,370.0,JetBlue Airways
2013-01-01,15:39,15:45,-6.0,18:53,19:10,-17.0,N319AA,351.0,American Airlines Inc.
2013-01-01,15:22,15:30,-8.0,18:58,18:55,3.0,N512UA,356.0,United Air Lines Inc.
2013-01-01,14:54,15:00,-6.0,18:15,18:37,-22.0,N702TW,340.0,Delta Air Lines Inc.
2013-01-01,13:41,13:45,-4.0,17:09,17:05,4.0,N339AA,362.0,American Airlines Inc.
2013-01-01,13:37,12:20,77.0,16:49,15:31,78.0,N636JB,352.0,JetBlue Airways
2013-01-01,17:20,17:25,-5.0,21:21,21:05,16.0,N723TW,363.0,Delta Air Lines Inc.
2013-01-01,11:55,12:00,-5.0,15:17,15:10,7.0,N322AA,353.0,American Airlines Inc.
2013-01-01,13:27,13:30,-3.0,16:38,16:55,-17.0,N642VA,352.0,Virgin America
2013-01-01,06:58,07:00,-2.0,10:27,10:25,2.0,N627VA,361.0,Virgin America
2013-01-01,07:02,07:00,2.0,10:58,10:14,44.0,N779JB,381.0,JetBlue Airways
2013-01-01,07:43,07:30,13.0,11:07,11:00,7.0,N338AA,358.0,American Airlines Inc.
2013-01-01,08:29,08:30,-1.0,11:52,12:00,-8.0,N554UA,360.0,United Air Lines Inc.
2013-01-01,08:59,09:00,-1.0,12:23,12:25,-2.0,N846VA,359.0,Virgin America
2013-01-01,08:56,09:00,-4.0,12:26,12:20,6.0,N324AA,358.0,American Airlines Inc.
2013-01-01,09:41,09:45,-4.0,13:00,12:58,2.0,N806JB,352.0,JetBlue Airways
2013-01-01,10:26,10:30,-4.0,13:51,13:40,11.0,N328AA,356.0,American Airlines Inc.
2013-01-01,11:27,11:30,-3.0,15:04,14:48,16.0,N518UA,357.0,United Air Lines Inc.
2013-01-01,11:33,11:30,3.0,14:48,14:50,-2.0,N839VA,347.0,Virgin America
2013-01-01,11:53,12:00,-7.0,14:50,15:29,-39.0,N712TW,330.0,Delta Air Lines Inc.
2013-01-01,09:21,09:00,21.0,12:37,12:27,10.0,N713TW,333.0,Delta Air Lines Inc.
2013-01-02,15:00,15:00,0.0,18:11,18:37,-26.0,N718TW,341.0,Delta Air Lines Inc.
2013-01-02,17:17,16:45,32.0,20:33,20:05,28.0,N338AA,335.0,American Airlines Inc.
2013-01-02,15:25,15:30,-5.0,18:32,18:55,-23.0,N532UA,341.0,United Air Lines Inc.
2013-01-02,16:27,16:30,-3.0,19:27,19:52,-25.0,N779JB,321.0,JetBlue Airways
2013-01-02,16:55,16:55,0.0,19:55,20:30,-35.0,N841VA,330.0,Virgin America
2013-01-02,17:24,17:25,-1.0,21:16,21:05,11.0,N712TW,381.0,Delta Air Lines Inc.
2013-01-02,19:05,19:05,0.0,22:16,22:25,-9.0,N339AA,333.0,American Airlines Inc.
2013-01-02,19:58,20:00,-2.0,23:03,23:25,-22.0,N622VA,335.0,Virgin America
2013-01-02,20:47,20:40,7.0,23:29,23:59,-30.0,N583JB,316.0,JetBlue Airways
2013-01-02,21:00,21:00,0.0,00:36,00:31,5.0,N711ZX,367.0,Delta Air Lines Inc.
2013-01-02,21:34,21:35,-1.0,00:36,00:50,-14.0,N322AA,340.0,American Airlines Inc.
2013-01-02,13:41,13:45,-4.0,16:48,17:05,-17.0,N332AA,344.0,American Airlines Inc.
2013-01-02,17:46,17:50,-4.0,20:43,21:15,-32.0,N512UA,325.0,United Air Lines Inc.
2013-01-02,13:26,13:30,-4.0,16:50,16:55,-5.0,N635VA,361.0,Virgin America
2013-01-02,18:56,19:00,-4.0,22:50,22:38,12.0,N703TW,371.0,Delta Air Lines Inc.
2013-01-02,12:04,12:00,4.0,15:11,15:10,1.0,N319AA,341.0,American Airlines Inc.
2013-01-02,06:55,07:00,-5.0,10:31,10:34,-3.0,N705TW,317.0,Delta Air Lines Inc.
2013-01-02,06:59,07:00,-1.0,09:59,10:25,-26.0,N626VA,330.0,Virgin America
2013-01-02,07:09,07:00,9.0,10:06,10:14,-8.0,N583JB,327.0,JetBlue Airways
2013-01-02,07:32,07:30,2.0,11:05,11:00,5.0,N322AA,351.0,American Airlines Inc.
2013-01-02,08:29,08:30,-1.0,11:54,12:00,-6.0,N525UA,340.0,United Air Lines Inc.
2013-01-02,08:55,09:00,-5.0,12:25,12:20,5.0,N336AA,336.0,American Airlines Inc.
2013-01-02,06:16,06:00,16.0,10:01,09:17,44.0,N19141,354.0,United Air Lines Inc.
2013-01-02,09:03,09:00,3.0,12:18,12:25,-7.0,N624VA,338.0,Virgin America
2013-01-02,08:57,09:00,-3.0,11:30,12:27,-57.0,N710TW,310.0,Delta Air Lines Inc.
2013-01-02,11:56,12:00,-4.0,15:09,15:29,-20.0,N624AG,348.0,Delta Air Lines Inc.
2013-01-02,11:31,11:30,1.0,14:36,14:50,-14.0,N627VA,341.0,Virgin America
2013-01-02,12:16,12:20,-4.0,15:20,15:31,-11.0,N796JB,337.0,JetBlue Airways
2013-01-02,10:38,10:30,8.0,13:47,13:40,7.0,N328AA,344.0,American Airlines Inc.
2013-01-02,10:04,09:45,19.0,12:51,12:58,-7.0,N706JB,326.0,JetBlue Airways
2013-01-02,11:25,11:30,-5.0,14:16,14:48,-32.0,N510UA,332.0,United Air Lines Inc.
2013-01-03,14:54,15:00,-6.0,17:59,18:37,-38.0,N705TW,321.0,Delta Air Lines Inc.
2013-01-03,15:46,15:45,1.0,18:51,19:10,-19.0,N319AA,319.0,American Airlines Inc.
2013-01-03,15:47,15:40,7.0,18:45,19:00,-15.0,N12116,323.0,United Air Lines Inc.
2013-01-03,16:26,16:30,-4.0,18:53,19:52,-59.0,N652JB,301.0,JetBlue Airways
2013-01-03,16:59,17:00,-1.0,19:54,20:36,-42.0,N712TW,322.0,Delta Air Lines Inc.
2013-01-03,17:20,16:45,35.0,20:17,20:05,12.0,N322AA,319.0,American Airlines Inc.
2013-01-03,17:21,16:55,26.0,20:13,20:30,-17.0,N641VA,321.0,Virgin America
2013-01-03,17:51,17:53,-2.0,20:43,21:05,-22.0,N532UA,320.0,United Air Lines Inc.
2013-01-03,19:09,19:05,4.0,21:45,22:25,-40.0,N338AA,293.0,American Airlines Inc.
2013-01-03,21:37,21:35,2.0,23:58,00:50,-52.0,N336AA,299.0,American Airlines Inc.
2013-01-03,20:23,20:30,-7.0,23:08,23:34,-26.0,N517UA,309.0,United Air Lines Inc.
2013-01-03,21:01,20:40,21.0,23:27,23:59,-32.0,N590JB,301.0,JetBlue Airways
2013-01-03,21:14,21:00,14.0,00:49,00:31,18.0,N718TW,347.0,Delta Air Lines Inc.
2013-01-03,13:40,13:45,-5.0,16:52,17:05,-13.0,N325AA,331.0,American Airlines Inc.
2013-01-03,18:58,19:00,-2.0,22:33,22:38,-5.0,N711ZX,348.0,Delta Air Lines Inc.
2013-01-03,20:19,20:00,19.0,23:03,23:25,-22.0,N623VA,309.0,Virgin America
2013-01-03,13:26,13:30,-4.0,16:09,16:55,-46.0,N624VA,320.0,Virgin America
2013-01-03,12:13,12:20,-7.0,14:39,15:31,-52.0,N766JB,308.0,JetBlue Airways
2013-01-03,12:33,12:00,33.0,15:34,15:29,5.0,N727TW,324.0,Delta Air Lines Inc.
2013-01-03,06:16,05:59,17.0,09:13,09:16,-3.0,N18119,335.0,United Air Lines Inc.
2013-01-03,06:56,07:00,-4.0,09:59,10:34,-35.0,N624AG,319.0,Delta Air Lines Inc.
2013-01-03,06:58,07:00,-2.0,09:38,10:25,-47.0,N638VA,316.0,Virgin America
2013-01-03,07:30,07:30,0.0,10:14,11:00,-46.0,N336AA,313.0,American Airlines Inc.
2013-01-03,08:25,08:29,-4.0,11:20,11:45,-25.0,N512UA,321.0,United Air Lines Inc.
2013-01-03,08:55,09:00,-5.0,11:44,12:20,-36.0,N327AA,323.0,American Airlines Inc.
2013-01-03,07:01,07:00,1.0,09:37,10:14,-37.0,N624JB,313.0,JetBlue Airways
2013-01-03,08:58,09:00,-2.0,11:55,12:25,-30.0,N631VA,322.0,Virgin America
2013-01-03,09:41,09:45,-4.0,11:53,12:58,-65.0,N789JB,297.0,JetBlue Airways
2013-01-03,10:24,10:30,-6.0,13:12,13:40,-28.0,N323AA,322.0,American Airlines Inc.
2013-01-03,11:24,11:30,-6.0,14:07,14:50,-43.0,N621VA,320.0,Virgin America
2013-01-03,11:27,11:30,-3.0,13:57,14:45,-48.0,N510UA,305.0,United Air Lines Inc.
2013-01-03,11:52,12:00,-8.0,14:46,15:10,-24.0,N328AA,325.0,American Airlines Inc.
2013-01-03,08:55,09:00,-5.0,11:57,12:27,-30.0,N711ZX,327.0,Delta Air Lines Inc.
2013-01-04,17:14,16:55,19.0,20:10,20:30,-20.0,N628VA,326.0,Virgin America
2013-01-04,14:57,15:00,-3.0,18:24,18:37,-13.0,N710TW,337.0,Delta Air Lines Inc.
2013-01-04,15:47,15:40,7.0,18:40,19:00,-20.0,N18112,324.0,United Air Lines Inc.
2013-01-04,16:28,16:30,-2.0,19:00,19:52,-52.0,N641JB,316.0,JetBlue Airways
2013-01-04,16:55,17:00,-5.0,20:04,20:36,-32.0,N718TW,334.0,Delta Air Lines Inc.
2013-01-04,17:03,15:45,78.0,20:01,19:10,51.0,N325AA,328.0,American Airlines Inc.
