id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
12,2013,1,1,558.0,600,-2.0,924.0,917,7.0,UA,194,N29129,JFK,LAX,345.0,2475,6,0,01/01/2013 06:00,United Air Lines Inc.
63,2013,1,1,658.0,700,-2.0,1027.0,1025,2.0,VX,399,N627VA,JFK,LAX,361.0,2475,7,0,01/01/2013 07:00,Virgin America
69,2013,1,1,702.0,700,2.0,1058.0,1014,44.0,B6,671,N779JB,JFK,LAX,381.0,2475,7,0,01/01/2013 07:00,JetBlue Airways
91,2013,1,1,743.0,730,13.0,1107.0,1100,7.0,AA,33,N338AA,JFK,LAX,358.0,2475,7,30,01/01/2013 07:00,American Airlines Inc.
139,2013,1,1,829.0,830,-1.0,1152.0,1200,-8.0,UA,443,N554UA,JFK,LAX,360.0,2475,8,30,01/01/2013 08:00,United Air Lines Inc.
159,2013,1,1,856.0,900,-4.0,1226.0,1220,6.0,AA,1,N324AA,JFK,LAX,358.0,2475,9,0,01/01/2013 09:00,American Airlines Inc.
168,2013,1,1,859.0,900,-1.0,1223.0,1225,-2.0,VX,407,N846VA,JFK,LAX,359.0,2475,9,0,01/01/2013 09:00,Virgin America
189,2013,1,1,921.0,900,21.0,1237.0,1227,10.0,DL,120,N713TW,JFK,LAX,333.0,2475,9,0,01/01/2013 09:00,Delta Air Lines Inc.
210,2013,1,1,941.0,945,-4.0,1300.0,1258,2.0,B6,679,N806JB,JFK,LAX,352.0,2475,9,45,01/01/2013 09:00,JetBlue Airways
235,2013,1,1,1026.0,1030,-4.0,1351.0,1340,11.0,AA,19,N328AA,JFK,LAX,356.0,2475,10,30,01/01/2013 10:00,American Airlines Inc.
276,2013,1,1,1127.0,1130,-3.0,1504.0,1448,16.0,UA,703,N518UA,JFK,LAX,357.0,2475,11,30,01/01/2013 11:00,United Air Lines Inc.
283,2013,1,1,1133.0,1130,3.0,1448.0,1450,-2.0,VX,409,N839VA,JFK,LAX,347.0,2475,11,30,01/01/2013 11:00,Virgin America
292,2013,1,1,1153.0,1200,-7.0,1450.0,1529,-39.0,DL,863,N712TW,JFK,LAX,330.0,2475,12,0,01/01/2013 12:00,Delta Air Lines Inc.
295,2013,1,1,1155.0,1200,-5.0,1517.0,1510,7.0,AA,3,N322AA,JFK,LAX,353.0,2475,12,0,01/01/2013 12:00,American Airlines Inc.
368,2013,1,1,1327.0,1330,-3.0,1638.0,1655,-17.0,VX,411,N642VA,JFK,LAX,352.0,2475,13,30,01/01/2013 13:00,Virgin America
373,2013,1,1,1337.0,1220,77.0,1649.0,1531,78.0,B6,673,N636JB,JFK,LAX,352.0,2475,12,20,01/01/2013 12:00,JetBlue Airways
376,2013,1,1,1341.0,1345,-4.0,1709.0,1705,4.0,AA,117,N339AA,JFK,LAX,362.0,2475,13,45,01/01/2013 13:00,American Airlines Inc.
434,2013,1,1,1454.0,1500,-6.0,1815.0,1837,-22.0,DL,1467,N702TW,JFK,LAX,340.0,2475,15,0,01/01/2013 15:00,Delta Air Lines Inc.
467,2013,1,1,1522.0,1530,-8.0,1858.0,1855,3.0,UA,530,N512UA,JFK,LAX,356.0,2475,15,30,01/01/2013 15:00,United Air Lines Inc.
489,2013,1,1,1539.0,1545,-6.0,1853.0,1910,-17.0,AA,133,N319AA,JFK,LAX,351.0,2475,15,45,01/01/2013 15:00,American Airlines Inc.
540,2013,1,1,1626.0,1630,-4.0,2007.0,1952,15.0,B6,675,N804JB,JFK,LAX,370.0,2475,16,30,01/01/2013 16:00,JetBlue Airways
572,2013,1,1,1655.0,1655,0.0,2025.0,2030,-5.0,VX,413,N626VA,JFK,LAX,362.0,2475,16,55,01/01/2013 16:00,Virgin America
598,2013,1,1,1720.0,1725,-5.0,2121.0,2105,16.0,DL,513,N723TW,JFK,LAX,363.0,2475,17,25,01/01/2013 17:00,Delta Air Lines Inc.
623,2013,1,1,1750.0,1750,0.0,2109.0,2115,-6.0,UA,535,N525UA,JFK,LAX,345.0,2475,17,50,01/01/2013 17:00,United Air Lines Inc.
689,2013,1,1,1856.0,1645,131.0,2212.0,2005,127.0,AA,181,N323AA,JFK,LAX,336.0,2475,16,45,01/01/2013 16:00,American Airlines Inc.
716,2013,1,1,1925.0,1900,25.0,2259.0,2238,21.0,DL,87,N624AG,JFK,LAX,332.0,2475,19,0,01/01/2013 19:00,Delta Air Lines Inc.
723,2013,1,1,1937.0,1905,32.0,2250.0,2225,25.0,AA,21,N327AA,JFK,LAX,332.0,2475,19,5,01/01/2013 19:00,American Airlines Inc.
734,2013,1,1,1952.0,2000,-8.0,2314.0,2325,-11.0,VX,415,N640VA,JFK,LAX,349.0,2475,20,0,01/01/2013 20:00,Virgin America
796,2013,1,1,2107.0,2040,27.0,2354.0,2359,-5.0,B6,677,N779JB,JFK,LAX,323.0,2475,20,40,01/01/2013 20:00,JetBlue Airways
807,2013,1,1,2128.0,2135,-7.0,26.0,50,-24.0,AA,185,N338AA,JFK,LAX,338.0,2475,21,35,01/01/2013 21:00,American Airlines Inc.
