station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2013-01-01 00:53,54.00,40.00,58.89,260.00,8.00,0.00,30.21,1023.00,10.00,,FEW,,,,25000.00,,,,,,,,,,,53.96,KLAX 010053Z 26008KT 10SM FEW250 12/04 A3021 RMK AO2 SLP230 T01220044,
LAX,2013-01-01 01:53,53.00,41.00,63.47,270.00,7.00,0.00,30.21,1023.00,10.00,,FEW,,,,25000.00,,,,,,,,,,,53.06,KLAX 010153Z 27007KT 10SM FEW250 12/05 A3021 RMK AO2 SLP230 T01170050,
LAX,2013-01-01 02:53,53.00,37.00,54.38,230.00,4.00,0.00,30.21,1023.00,10.00,,CLR,,,,,,,,,,,,,,,53.06,KLAX 010253Z 23004KT 10SM CLR 12/03 A3021 RMK AO2 SLP230 T01170028 51006,
LAX,2013-01-01 03:53,54.00,39.00,56.86,340.00,5.00,0.00,30.23,1023.70,10.00,,FEW,,,,25000.00,,,,,,,,,,,53.96,KLAX 010353Z 34005KT 10SM FEW250 12/04 A3023 RMK AO2 SLP237 T01220039,
LAX,2013-01-01 04:53,51.00,39.00,63.22,,3.00,0.00,30.24,1023.90,10.00,,FEW,,,,25000.00,,,,,,,,,,,51.08,KLAX 010453Z VRB03KT 10SM FEW250 11/04 A3024 RMK AO2 SLP239 T01060039,
LAX,2013-01-01 05:53,50.00,40.00,68.15,100.00,3.00,0.00,30.24,1024.00,10.00,,SCT,,,,15000.00,,,,,,,,,,,49.27,KLAX 010553Z 10003KT 10SM SCT150 10/04 A3024 RMK AO2 SLP240 T01000044 10133 20100 51011,
LAX,2013-01-01 06:53,50.00,41.00,71.07,110.00,5.00,0.00,30.25,1024.30,9.00,,BKN,,,,20000.00,,,,,,,,,,,50.00,KLAX 010653Z 11005KT 9SM BKN200 10/05 A3025 RMK AO2 SLP243 T01000050,
LAX,2013-01-01 07:53,48.00,39.00,70.85,80.00,4.00,0.00,30.24,1024.00,10.00,,OVC,,,,20000.00,,,,,,,,,,,46.10,KLAX 010753Z 08004KT 10SM OVC200 09/04 A3024 RMK AO2 SLP240 T00890039 401500050,
LAX,2013-01-01 08:53,47.00,38.00,70.74,90.00,4.00,0.00,30.23,1023.70,10.00,,BKN,,,,20000.00,,,,,,,,,,,44.87,KLAX 010853Z 09004KT 10SM BKN200 08/03 A3023 RMK AO2 SLP237 T00830033 58003,
LAX,2013-01-01 09:53,47.00,37.00,68.28,60.00,4.00,0.00,30.25,1024.10,10.00,,SCT,,,,20000.00,,,,,,,,,,,44.87,KLAX 010953Z 06004KT 10SM SCT200 08/03 A3025 RMK AO2 SLP241 T00830028,
LAX,2013-01-01 10:53,47.00,37.00,68.28,60.00,5.00,0.00,30.24,1023.80,10.00,,BKN,,,,20000.00,,,,,,,,,,,44.14,KLAX 011053Z 06005KT 10SM BKN200 08/03 A3024 RMK AO2 SLP238 T00830028,
LAX,2013-01-01 11:53,46.00,36.00,67.69,60.00,3.00,0.00,30.21,1023.10,10.00,,BKN,,,,20000.00,,,,,,,,,,,44.74,KLAX 011153Z 06003KT 10SM BKN200 08/02 A3021 RMK AO2 SLP231 T00780022 10106 20072 58007,
LAX,2013-01-01 12:53,46.00,35.00,65.32,70.00,5.00,0.00,30.21,1023.00,10.00,,BKN,,,,20000.00,,,,,,,,,,,43.07,KLAX 011253Z 07005KT 10SM BKN200 08/02 A3021 RMK AO2 SLP230 T00780017,
LAX,2013-01-01 13:53,46.00,34.00,62.56,0.00,0.00,0.00,30.21,1022.90,10.00,,BKN,,,,20000.00,,,,,,,,,,,46.04,KLAX 011353Z 00000KT 10SM BKN200 08/01 A3021 RMK AO2 SLP229 T00780011,
