,sched_dep_datetime (mod),dep_time,sched_dep_time,dep_delay,name,actual_delay,station,Wind Speed [in knots],Wind Gust [in knots],One hour precipitation [in inches],Pressure altimeter [in inches],Visibility [in miles],Sky Level 1 Coverage,Sky Level 2 Coverage,Sky Level 3 Coverage,Sky Level 4 Coverage
0,2013-01-01 05:51:00,05:58,06:00,-2.0,United Air Lines Inc.,5.0,JFK,11.0,,0.00,29.89,10.0,5.0,,,
1,2013-01-01 06:51:00,06:58,07:00,-2.0,Virgin America,0.0,JFK,11.0,,0.00,29.9,10.0,5.0,,,
2,2013-01-01 06:51:00,07:02,07:00,2.0,JetBlue Airways,46.0,JFK,11.0,,0.00,29.9,10.0,5.0,,,
3,2013-01-01 07:51:00,07:43,07:30,13.0,American Airlines Inc.,20.0,JFK,10.0,,0.00,29.9,10.0,4.0,4.0,5.0,
4,2013-01-01 08:51:00,08:29,08:30,-1.0,United Air Lines Inc.,-9.0,JFK,13.0,,0.00,29.91,10.0,5.0,,,
5,2013-01-01 08:51:00,08:59,09:00,-1.0,Virgin America,-3.0,JFK,13.0,,0.00,29.91,10.0,5.0,,,
6,2013-01-01 08:51:00,08:56,09:00,-4.0,American Airlines Inc.,2.0,JFK,13.0,,0.00,29.91,10.0,5.0,,,
7,2013-01-01 08:51:00,09:21,09:00,21.0,Delta Air Lines Inc.,31.0,JFK,13.0,,0.00,29.91,10.0,5.0,,,
8,2013-01-01 09:51:00,09:41,09:45,-4.0,JetBlue Airways,-2.0,JFK,15.0,,0.00,29.9,10.0,4.0,5.0,,
9,2013-01-01 10:51:00,10:26,10:30,-4.0,American Airlines Inc.,7.0,JFK,13.0,,0.00,29.89,10.0,5.0,,,
10,2013-01-01 11:51:00,11:27,11:30,-3.0,United Air Lines Inc.,13.0,JFK,12.0,,0.00,29.9,10.0,4.0,4.0,,
11,2013-01-01 11:51:00,11:33,11:30,3.0,Virgin America,1.0,JFK,12.0,,0.00,29.9,10.0,4.0,4.0,,
12,2013-01-01 11:51:00,11:55,12:00,-5.0,American Airlines Inc.,2.0,JFK,12.0,,0.00,29.9,10.0,4.0,4.0,,
13,2013-01-01 11:51:00,11:53,12:00,-7.0,Delta Air Lines Inc.,-46.0,JFK,12.0,,0.00,29.9,10.0,4.0,4.0,,
14,2013-01-01 11:51:00,13:37,12:20,77.0,JetBlue Airways,155.0,JFK,12.0,,0.00,29.9,10.0,4.0,4.0,,
15,2013-01-01 13:51:00,13:27,13:30,-3.0,Virgin America,-20.0,JFK,15.0,,0.00,29.9,10.0,4.0,5.0,,
16,2013-01-01 13:51:00,13:41,13:45,-4.0,American Airlines Inc.,0.0,JFK,15.0,,0.00,29.9,10.0,4.0,5.0,,
17,2013-01-01 14:51:00,14:54,15:00,-6.0,Delta Air Lines Inc.,-28.0,JFK,14.0,,0.00,29.92,10.0,4.0,4.0,5.0,
18,2013-01-01 15:51:00,15:22,15:30,-8.0,United Air Lines Inc.,-5.0,JFK,14.0,,0.00,29.91,10.0,2.0,4.0,5.0,
19,2013-01-01 15:51:00,15:39,15:45,-6.0,American Airlines Inc.,-23.0,JFK,14.0,,0.00,29.91,10.0,2.0,4.0,5.0,
20,2013-01-01 16:51:00,16:26,16:30,-4.0,JetBlue Airways,11.0,JFK,13.0,,0.00,29.88,10.0,3.0,4.0,5.0,
21,2013-01-01 16:51:00,18:56,16:45,131.0,American Airlines Inc.,258.0,JFK,13.0,,0.00,29.88,10.0,3.0,4.0,5.0,
22,2013-01-01 16:51:00,16:55,16:55,0.0,Virgin America,-5.0,JFK,13.0,,0.00,29.88,10.0,3.0,4.0,5.0,
23,2013-01-01 17:51:00,17:20,17:25,-5.0,Delta Air Lines Inc.,11.0,JFK,15.0,,0.00,29.87,10.0,4.0,5.0,,
24,2013-01-01 17:51:00,17:50,17:50,0.0,United Air Lines Inc.,-6.0,JFK,15.0,,0.00,29.87,10.0,4.0,5.0,,
25,2013-01-01 18:51:00,19:25,19:00,25.0,Delta Air Lines Inc.,46.0,JFK,10.0,,0.00,29.86,10.0,4.0,5.0,,
26,2013-01-01 18:51:00,19:37,19:05,32.0,American Airlines Inc.,57.0,JFK,10.0,,0.00,29.86,10.0,4.0,5.0,,
27,2013-01-01 19:51:00,19:52,20:00,-8.0,Virgin America,-19.0,JFK,10.0,,0.00,29.86,10.0,4.0,5.0,,
28,2013-01-01 20:51:00,21:07,20:40,27.0,JetBlue Airways,22.0,JFK,11.0,,0.00,29.88,10.0,3.0,4.0,,
29,2013-01-01 21:51:00,21:28,21:35,-7.0,American Airlines Inc.,-31.0,JFK,15.0,21.0,0.00,29.89,10.0,3.0,4.0,,
30,2013-01-02 05:51:00,06:16,06:00,16.0,United Air Lines Inc.,60.0,JFK,16.0,26.0,0.00,30.01,10.0,5.0,,,
31,2013-01-02 06:51:00,06:55,07:00,-5.0,Delta Air Lines Inc.,-8.0,JFK,17.0,24.0,0.00,30.02,10.0,5.0,,,
32,2013-01-02 06:51:00,06:59,07:00,-1.0,Virgin America,-27.0,JFK,17.0,24.0,0.00,30.02,10.0,5.0,,,
33,2013-01-02 06:51:00,07:09,07:00,9.0,JetBlue Airways,1.0,JFK,17.0,24.0,0.00,30.02,10.0,5.0,,,
34,2013-01-02 07:51:00,07:32,07:30,2.0,American Airlines Inc.,7.0,JFK,16.0,,0.00,30.03,10.0,5.0,,,
