date,dep_time,sched_dep_time,sched_dep_time (modified),dep_delay,tailnum,air_time,name
2013-01-01,05:58,06:00,05:51,-2.0,N29129,345.0,United Air Lines Inc.
2013-01-01,06:58,07:00,06:51,-2.0,N627VA,361.0,Virgin America
2013-01-01,07:02,07:00,06:51,2.0,N779JB,381.0,JetBlue Airways
2013-01-01,07:43,07:30,07:51,13.0,N338AA,358.0,American Airlines Inc.
2013-01-01,08:29,08:30,08:51,-1.0,N554UA,360.0,United Air Lines Inc.
2013-01-01,08:59,09:00,08:51,-1.0,N846VA,359.0,Virgin America
2013-01-01,08:56,09:00,08:51,-4.0,N324AA,358.0,American Airlines Inc.
2013-01-01,09:21,09:00,08:51,21.0,N713TW,333.0,Delta Air Lines Inc.
2013-01-01,09:41,09:45,09:51,-4.0,N806JB,352.0,JetBlue Airways
2013-01-01,10:26,10:30,10:51,-4.0,N328AA,356.0,American Airlines Inc.
2013-01-01,11:27,11:30,11:51,-3.0,N518UA,357.0,United Air Lines Inc.
2013-01-01,11:33,11:30,11:51,3.0,N839VA,347.0,Virgin America
2013-01-01,11:55,12:00,11:51,-5.0,N322AA,353.0,American Airlines Inc.
2013-01-01,11:53,12:00,11:51,-7.0,N712TW,330.0,Delta Air Lines Inc.
2013-01-01,13:37,12:20,11:51,77.0,N636JB,352.0,JetBlue Airways
2013-01-01,13:27,13:30,13:51,-3.0,N642VA,352.0,Virgin America
2013-01-01,13:41,13:45,13:51,-4.0,N339AA,362.0,American Airlines Inc.
2013-01-01,14:54,15:00,14:51,-6.0,N702TW,340.0,Delta Air Lines Inc.
2013-01-01,15:22,15:30,15:51,-8.0,N512UA,356.0,United Air Lines Inc.
2013-01-01,15:39,15:45,15:51,-6.0,N319AA,351.0,American Airlines Inc.
2013-01-01,16:26,16:30,16:51,-4.0,N804JB,370.0,JetBlue Airways
2013-01-01,18:56,16:45,16:51,131.0,N323AA,336.0,American Airlines Inc.
2013-01-01,16:55,16:55,16:51,0.0,N626VA,362.0,Virgin America
2013-01-01,17:20,17:25,17:51,-5.0,N723TW,363.0,Delta Air Lines Inc.
2013-01-01,17:50,17:50,17:51,0.0,N525UA,345.0,United Air Lines Inc.
2013-01-01,19:25,19:00,18:51,25.0,N624AG,332.0,Delta Air Lines Inc.
2013-01-01,19:37,19:05,18:51,32.0,N327AA,332.0,American Airlines Inc.
2013-01-01,19:52,20:00,19:51,-8.0,N640VA,349.0,Virgin America
2013-01-01,21:07,20:40,20:51,27.0,N779JB,323.0,JetBlue Airways
2013-01-01,21:28,21:35,21:51,-7.0,N338AA,338.0,American Airlines Inc.
2013-01-02,06:16,06:00,05:51,16.0,N19141,354.0,United Air Lines Inc.
2013-01-02,06:55,07:00,06:51,-5.0,N705TW,317.0,Delta Air Lines Inc.
2013-01-02,06:59,07:00,06:51,-1.0,N626VA,330.0,Virgin America
2013-01-02,07:09,07:00,06:51,9.0,N583JB,327.0,JetBlue Airways
2013-01-02,07:32,07:30,07:51,2.0,N322AA,351.0,American Airlines Inc.
2013-01-02,08:29,08:30,08:51,-1.0,N525UA,340.0,United Air Lines Inc.
2013-01-02,08:55,09:00,08:51,-5.0,N336AA,336.0,American Airlines Inc.
2013-01-02,09:03,09:00,08:51,3.0,N624VA,338.0,Virgin America
2013-01-02,08:57,09:00,08:51,-3.0,N710TW,310.0,Delta Air Lines Inc.
2013-01-02,10:04,09:45,09:51,19.0,N706JB,326.0,JetBlue Airways
2013-01-02,10:38,10:30,10:51,8.0,N328AA,344.0,American Airlines Inc.
2013-01-02,11:31,11:30,11:51,1.0,N627VA,341.0,Virgin America
2013-01-02,11:25,11:30,11:51,-5.0,N510UA,332.0,United Air Lines Inc.
2013-01-02,12:04,12:00,11:51,4.0,N319AA,341.0,American Airlines Inc.
